price,air__airline_Indigo,air__airline_Jet Airways,air__airline_Other,doj__date_of_journey_week,doj__date_of_journey_day_of_year,location__source,location__destination,dur__duration_cat,dur__duration_over_1000,dur__duration,stops__total_stops,stops__is_direct_flight
11200,0.0,0.0,0.0,0.823529411764706,0.7966101694915255,1.0542821604945094,1.0531185386804223,2.0,0,-0.00531376218087933,1.0,0
8479,0.0,0.0,1.0,0.7058823529411765,0.7118644067796611,-0.2551101096333648,-0.25663423196591045,2.0,0,-0.39876230574286625,1.0,0
11150,0.0,1.0,0.0,0.9999999999999999,1.0,1.0542821604945094,1.0531185386804223,2.0,1,2.3049353782215567,2.0,0
12224,0.0,0.0,0.0,0.8823529411764705,0.8728813559322035,-0.2551101096333648,-0.25663423196591045,2.0,1,2.0829900459558206,2.0,0
6412,1.0,0.0,0.0,0.9999999999999999,0.9745762711864407,1.0542821604945094,1.0531185386804223,1.0,0,-0.5097349718757344,1.0,0
15129,0.0,1.0,0.0,0.6470588235294118,0.6610169491525424,1.0542821604945094,1.0531185386804223,2.0,1,2.3049353782215567,2.0,0
8067,0.0,0.0,0.0,0.7058823529411765,0.6864406779661016,1.0542821604945094,1.0531185386804223,1.0,0,-0.6307960622024995,1.0,0
4544,0.0,1.0,0.0,0.4117647058823529,0.3813559322033898,-0.8202097536562262,-1.88686640018873,1.0,0,-0.9132719396316183,0.0,1
4937,0.0,0.0,1.0,0.4117647058823529,0.4067796610169492,-0.8202097536562262,-1.88686640018873,0.0,0,-0.9334487880194126,0.0,1
8066,0.0,1.0,0.0,0.2941176470588235,0.2627118644067796,-0.2551101096333648,-0.25663423196591045,2.0,0,0.11574732814588587,1.0,0
9134,0.0,1.0,0.0,0.11764705882352944,0.11864406779661019,-0.8202097536562262,-0.7793649730661341,2.0,0,-0.20708224605882133,1.0,0
10262,0.0,1.0,0.0,0.823529411764706,0.847457627118644,1.0542821604945094,1.0531185386804223,2.0,1,1.7601604717511132,1.0,0
10262,0.0,1.0,0.0,0.823529411764706,0.8220338983050848,1.0542821604945094,1.0531185386804223,2.0,1,1.8106025927205986,1.0,0
7229,0.0,1.0,0.0,0.9411764705882352,0.9491525423728813,-0.8202097536562262,-1.88686640018873,0.0,0,-0.9233603638255155,0.0,1
8425,0.0,0.0,0.0,0.05882352941176472,0.06779661016949157,-0.8202097536562262,-0.7793649730661341,2.0,1,1.7904257443328044,1.0,0
10262,0.0,1.0,0.0,0.8823529411764705,0.8983050847457628,1.0542821604945094,1.0531185386804223,2.0,1,1.3061813830257436,1.0,0
5769,0.0,1.0,0.0,0.823529411764706,0.7966101694915255,-0.8202097536562262,-1.88686640018873,1.0,0,-0.9132719396316183,0.0,1
6171,0.0,0.0,1.0,0.5882352941176471,0.5847457627118644,-0.2551101096333648,-0.25663423196591045,2.0,0,-0.22725909444661554,1.0,0
3841,0.0,0.0,1.0,0.823529411764706,0.7966101694915255,-0.2551101096333648,-0.25663423196591045,0.0,0,-0.9939793331827952,0.0,1
12284,0.0,1.0,0.0,0.17647058823529405,0.14406779661016955,-0.8202097536562262,-0.7793649730661341,1.0,0,-0.6207076380086024,1.0,0
10262,0.0,1.0,0.0,0.823529411764706,0.7966101694915255,1.0542821604945094,1.0531185386804223,2.0,1,1.3969772007708177,1.0,0
4107,0.0,0.0,1.0,0.2941176470588235,0.2796610169491526,-0.2551101096333648,-0.25663423196591045,0.0,0,-0.9637140606011039,0.0,1
4409,0.0,0.0,1.0,0.6470588235294118,0.6355932203389831,-0.2551101096333648,-0.25663423196591045,0.0,0,-0.9637140606011039,0.0,1
4273,0.0,0.0,1.0,0.17647058823529405,0.19491525423728817,-0.8202097536562262,-0.7793649730661341,0.0,0,-0.9334487880194126,0.0,1
14960,0.0,0.0,0.0,0.823529411764706,0.8220338983050848,-0.2551101096333648,-0.25663423196591045,2.0,0,0.6806990830041235,2.0,0
6741,0.0,0.0,1.0,0.6470588235294118,0.6610169491525424,1.0542821604945094,1.0531185386804223,1.0,0,-0.8930950912438241,0.0,1
7757,0.0,1.0,0.0,0.5882352941176471,0.5593220338983051,-0.2551101096333648,-0.25663423196591045,2.0,0,0.2872505394421366,1.0,0
4991,0.0,0.0,1.0,0.47058823529411764,0.48305084745762716,-0.8202097536562262,-1.88686640018873,0.0,0,-0.9334487880194126,0.0,1
12537,0.0,0.0,0.0,0.3529411764705882,0.3305084745762712,1.0542821604945094,1.0531185386804223,2.0,0,-0.30796648799779236,1.0,0
4096,0.0,0.0,1.0,0.05882352941176472,0.0423728813559322,-0.2551101096333648,-0.25663423196591045,0.0,0,-0.973802484795001,0.0,1
14594,0.0,0.0,0.0,0.05882352941176472,0.0423728813559322,-0.8202097536562262,-0.7793649730661341,2.0,1,1.2759161104440524,1.0,0
